PUZZLE,CATEGORY,DATE USED,WHEN USED
HITTING THE GYM,What Are You Doing?,4/10/2014 (#5999),T3
THE LATEST TECHNOLOGY,Thing,4/10/2014 (#5999),R4
HAVING AN IMPACT,Phrase,4/10/2014 (#5999),BR
COURSE CATALOG,College Life,4/11/2014 (#6000),T1
TRENDING ON TWITTER,Phrase,4/11/2014 (#6000),T2
MYTHOLOGICAL HERO ACHILLES,Character,4/11/2014 (#6000),R1
SCIENCE PROJECT RUNWAY,Before & After,4/11/2014 (#6000),R2
THE WORLD'S FASTEST MAN,Person,4/11/2014 (#6000),R3*
EDGAR ALLAN POE,Proper Name,4/11/2014 (#6000),T3
ON-THE-SPOT DECISION,Thing,4/11/2014 (#6000),R4
TOP DRAFT PICK,Person,4/11/2014 (#6000),BR
THE BAHAMAS,On the Map,4/14/2014 (#6001),T1
STEAM SHOWER,Thing,4/14/2014 (#6001),T2
SEARCHING FOR BURIED TREASURE,What Are You Doing?,4/14/2014 (#6001),R1
DETAILED DRIVING DIRECTIONS,Same Letter,4/14/2014 (#6001),R2
AN EXTRAORDINARY EXPERIENCE,Event,4/14/2014 (#6001),R3*
CHOCOLATE CHIP SCONE,Food & Drink,4/14/2014 (#6001),T3
I THANK MY LUCKY STARS,Phrase,4/14/2014 (#6001),R4
WEALTHY WOMAN,Person,4/14/2014 (#6001),BR
MONTEGO BAY,On the Map,4/15/2014 (#6002),T1
A ROUND OF APPLAUSE,Thing,4/15/2014 (#6002),T2
SUPERSTITION BY STEVIE WONDER,Song/Artist,4/15/2014 (#6002),R1
NONSTOP FLIGHTS OF FANCY,Before & After,4/15/2014 (#6002),R2
I CAN'T WIPE THE SMILE OFF MY FACE,Phrase,4/15/2014 (#6002),R3*
PRETTY IN PINK,The 80's,4/15/2014 (#6002),T3
PLAYING SIMON SAYS,Fun & Games,4/15/2014 (#6002),R4
NEWBORN PUPPY,Living Thing,4/15/2014 (#6002),BR
THE CARIBBEAN SEA,On the Map,4/16/2014 (#6003),T1
BRAINS AND BRAWN,Things,4/16/2014 (#6003),T2
CHICKEN STOCK MARKET,Before & After,4/16/2014 (#6003),R1
POP MUSIC STAR BRUNO MARS,Show Biz,4/16/2014 (#6003),R2
THIS IS GOING TO MAKE A GREAT STORY,Phrase,4/16/2014 (#6003),R3*
POTATO PEELER,In the Kitchen,4/16/2014 (#6003),T3
MEETING MY DEADLINE,What Are You Doing?,4/16/2014 (#6003),R4
TOUCH FOOTBALL,Fun & Games,4/16/2014 (#6003),R5
HOURS OF OPERATION,Things,4/16/2014 (#6003),BR
BARBADOS,On the Map,4/17/2014 (#6004),T1
FRENCH PRESS COFFEE,Food & Drink,4/17/2014 (#6004),T2
LET'S GET THE BALL ROLLING,Phrase,4/17/2014 (#6004),R1
FOLLOW THE YELLOW BRICK ROAD HOG,Before & After,4/17/2014 (#6004),R2
WEST OF HAITI SOUTH OF CUBA,Place,4/17/2014 (#6004),R3*
COLD HARD CASH,Thing,4/17/2014 (#6004),T3
LIKE-MINDED INDIVIDUALS,People,4/17/2014 (#6004),R4
BREEZY DAY,Thing,4/17/2014 (#6004),BR
GETTING WARMED UP,What Are You Doing?,4/18/2014 (#6005),T1
QUICHE LORRAINE,Food & Drink,4/18/2014 (#6005),T2
HUNGRY LIKE THE WOLF BY DURAN DURAN,The 80's,4/18/2014 (#6005),R1
SOCIAL BUTTERFLY COLLECTION,Before & After,4/18/2014 (#6005),R2
PINCH ME I THINK I'M DREAMING,Phrase,4/18/2014 (#6005),R3*
BABY'S BREATH,Living Thing,4/18/2014 (#6005),T3
LIFETIME GUARANTEE,Thing,4/18/2014 (#6005),R4
DOWNRIGHT HILARIOUS,Phrase,4/18/2014 (#6005),BR
LOUISIANA,On the Map,4/21/2014 (#6006),T1
SYCAMORE TREE,Living Thing,4/21/2014 (#6006),T2
BUFFY THE VAMPIRE SLAYER,Title,4/21/2014 (#6006),R1
WE WILL SELL NO WINE BEFORE ITS TIME,TV Quote,4/21/2014 (#6006),R2
LET THE CELEBRATION BEGIN,Phrase,4/21/2014 (#6006),R3*
PETER COTTONTAIL,Character,4/21/2014 (#6006),T3
DOWNLOADING MUSIC,What Are You Doing?,4/21/2014 (#6006),R4
SCOOT OVER,Phrase,4/21/2014 (#6006),BR
SUSAN B. ANTHONY,Proper Name,4/22/2014 (#6007),T1
HUMAN PYRAMID,People,4/22/2014 (#6007),T2
DEPARTMENT STORE MANNEQUINS,Things,4/22/2014 (#6007),R1
YOU ARE THE SUNSHINE OF MY LIFE SAVINGS,Before & After,4/22/2014 (#6007),R2
EXPLORING THE COASTLINE IN A KAYAK,Fun & Games,4/22/2014 (#6007),R3*
LEGALLY BLONDE,Movie Title,4/22/2014 (#6007),T3
FRAGRANT WILDFLOWERS,Living Things,4/22/2014 (#6007),R4
HOBBYHORSE,Thing,4/22/2014 (#6007),BR
HUCKLEBERRY FINN,Character,4/23/2014 (#6008),T1
OVERDUE LIBRARY BOOKS,Things,4/23/2014 (#6008),T2
COMMENCEMENT AND CAR SPEAKERS,Same Name,4/23/2014 (#6008),R1
KEEP YOUR NOSE TO THE GRINDSTONE,Phrase,4/23/2014 (#6008),R2
WINDSURFING IN THE CARIBBEAN,Fun & Games,4/23/2014 (#6008),R3*
MAIN STREET,Place,4/23/2014 (#6008),T3
SAVING UP FOR A RAINY DAY,What Are You Doing?,4/23/2014 (#6008),R4
DIVERSE BACKGROUNDS,Phrase,4/23/2014 (#6008),BR
OFF TO A FLYING STAR,Phrase,4/24/2014 (#6009),T1
ATTITUDE ADJUSTMENT,Thing,4/24/2014 (#6009),T2
CSI: CRIME SCENE INVESTIGATION,TV Title,4/24/2014 (#6009),R1
AND TO THE REPUBLIC FOR WHICH IT STANDS,Quotation,4/24/2014 (#6009),R2
PACKING WATERPROOF SUNSCREEN,What Are You Doing?,4/24/2014 (#6009),R3*
TEN-PIECE BRASS BAND,Show Biz,4/24/2014 (#6009),T3
TELEVISION CRITIC,Occupation,4/24/2014 (#6009),R4
QUALIFIED APPLICANTS,People,4/24/2014 (#6009),BR
NEW HAMPSHIRE,On the Map,4/25/2014 (#6010),T1
BENDING THE RULES,What Are You Doing?,4/25/2014 (#6010),T2
STAINLESS STEEL COLANDER,In the Kitchen,4/25/2014 (#6010),R1
BLUE BABY BOOTIES,Same Letter,4/25/2014 (#6010),R2
A BOWL OF DELICIOUS GOULASH,Food & Drink,4/25/2014 (#6010),R3*
SPIRAL STAIRCASE,Thing,4/25/2014 (#6010),T3
CROSS-COUNTRY RUNNER,Person,4/25/2014 (#6010),R4
BEAUTY PAGEANT JUDGE,Person,4/25/2014 (#6010),BR
SIX THOUSAND SHOWS!,Things,4/28/2014 (#6011),T1
ACHY BREAKY HEART,The 90's,4/28/2014 (#6011),T2
EXTRA EXTRA READ ALL ABOUT IT,Phrase,4/28/2014 (#6011),R1
A PAT ON THE BACK TO THE FUTURE,Before & After,4/28/2014 (#6011),R2
BOOKING MY SHORE EXCURSION,What Are You Doing?,4/28/2014 (#6011),R3*
SHERLOCK HOLMES,Character,4/28/2014 (#6011),T3
PLAYING ALONG AT HOME,Fun & Games,4/28/2014 (#6011),R4
A SOPHOMORE,Person,4/28/2014 (#6011),BR
HISTORY IN THE MAKING,Phrase,4/29/2014 (#6012),T1
SECTIONAL SOFA,Around the House,4/29/2014 (#6012),T2
SOLVING A RUBIK'S CUBE,The 80's,4/29/2014 (#6012),R1
CHOCOLATE SUNDAE WITH A CHERRY ON TOP,Food & Drink,4/29/2014 (#6012),R2
BIG BEN AND THE EIFFEL TOWER,Landmarks,4/29/2014 (#6012),R3*
DONKEY KONG,Fun & Games,4/29/2014 (#6012),T3
BATMAN AND CATWOMAN,Characters,4/29/2014 (#6012),R4
WEIGHING MY OPTIONS,Phrase,4/29/2014 (#6012),BR
A SMASHING SUCCESS,Phrase,4/30/2014 (#6013),T1
SPACE INVADERS,Fun & Games,4/30/2014 (#6013),T2
BRUCE SPRINGSTEEN'S BORN IN THE U.S.A.,The 80's,4/30/2014 (#6013),R1
CREAM CHEESE COFFEE CAKE,Same Letter,4/30/2014 (#6013),R2
GUIDED TOUR OF ANCIENT RUINS,Event,4/30/2014 (#6013),R3*
BIRTHDAY CANDLES,Things,4/30/2014 (#6013),T3
CRAB-STUFFED LOBSTER TAILS,Food & Drink,4/30/2014 (#6013),R4
HIT THE SACK,Phrase,4/30/2014 (#6013),BR
YOU HEARD IT HERE FIRST,Phrase,5/1/2014 (#6014),T1
CERAMIC DALMATIAN,Around the House,5/1/2014 (#6014),T2
MONUMENTAL ACHIEVEMENT,Thing,5/1/2014 (#6014),R1
WILL SMITH IN INDEPENDENCE DAY,The 90's,5/1/2014 (#6014),R2
PRIVATE DINING UNDER THE STARS,Event,5/1/2014 (#6014),R3*
CANDY SHOP,Place,5/1/2014 (#6014),T3
SCORING THE WINNING GOAL,Fun & Games,5/1/2014 (#6014),R4
VALIANT EFFORT,Thing,5/1/2014 (#6014),BR
AMERICA'S GAME,Phrase,5/2/2014 (#6015),T1
I WILL ALWAYS LOVE YOU,Song Lyrics,5/2/2014 (#6015),T2
ROBIN WILLIAMS AS MRS. DOUBTFIRE,The 90's,5/2/2014 (#6015),R1
PERSONALIZED PLUSH PILLOWS,Same Letter,5/2/2014 (#6015),R2
LUSH JUNGLE VEGETATION,Living Thing,5/2/2014 (#6015),R3*
WAX ON WAX OFF,Movie Quote,5/2/2014 (#6015),T3
SETTING A WORLD RECORD,Event,5/2/2014 (#6015),R4
ROCKEFELLER CENTER,Landmark,5/2/2014 (#6015),R5
BIKE PUMP,Thing,5/2/2014 (#6015),BR
DESIGNER THROW PILLOWS,Around the House,5/5/2014 (#6016),T1
SPEAKING MY MIND,What Are You Doing?,5/5/2014 (#6016),T2
THE BEST DAY BY TAYLOR SWIFT,Song/Artist,5/5/2014 (#6016),R1
DON'T MAKE ME PULL THIS CAR OVER,Phrase,5/5/2014 (#6016),R2
BREATHTAKING MARINE HABITAT,Place,5/5/2014 (#6016),R3*
THE NOBEL PEAE PRIZE,Thing,5/5/2014 (#6016),T3
ICE-COLD LEMONADE,Food & Drink,5/5/2014 (#6016),R4
RAPID GROWTH,Thing,5/5/2014 (#6016),BR
YELLOW ROSES,Living Things,5/6/2014 (#6017),T1
REHEARSAL DINNER,Event,5/6/2014 (#6017),T2
BLACK-AND-WHITE PHOTOGRAPHS,Around the House,5/6/2014 (#6017),R1
BIRTH AND GIFT CERTIFICATE,Same Name,5/6/2014 (#6017),R2
GARDENS WATERFALLS AND BEACHES,Things,5/6/2014 (#6017),R3*
BACKGAMMON BOARD,Fun & Games,5/6/2014 (#6017),T3
I DON'T CARE WHO STARTED IT,Phrase,5/6/2014 (#6017),R4
KANGAROO POUCH,Thing,5/6/2014 (#6017),BR
ENGRAVED JEWELRY BOX,Around the House,5/7/2014 (#6018),T1
MOONSTRUCK,Movie Title,5/7/2014 (#6018),T2
WHERE WOULD WE BE WITHOUT YOU?,Phrase,5/7/2014 (#6018),R1
MOM'S MONOGRAMMED MUG,Same Letter,5/7/2014 (#6018),R2
SPLASHING IN THE CRYSTAL CLEAR OCEAN,Fun & Games,5/7/2014 (#6018),R3*
SUSAN SARANDON,Proper Name,5/7/2014 (#6018),T3
SPRING FASHION SHOW,Event,5/7/2014 (#6018),R4
BARELY ENOUGH,Phrase,5/7/2014 (#6018),BR
MOTHER'S LITTLE HELPER,Person,5/8/2014 (#6019),T1
A CUP OF HOT COCOA,Food & Drink,5/8/2014 (#6019),T2
KEEP YOUR ELBOWS OFF THE TABLE,Phrase,5/8/2014 (#6019),R1
STUNT DOUBLE COUPONS,Before & After,5/8/2014 (#6019),R2
FUDGE CAKE,Thing,5/8/2014 (#6019),PP
SETTING SAIL FOR THE MEDITERRANEAN,What Are You Doing?,5/8/2014 (#6019),R3*
BEDTIME STORY,Thing,5/8/2014 (#6019),T3
JOHN TRAVOLTA IN HAIRSPRAY,Show Biz,5/8/2014 (#6019),R4
PRIVATE HIDEAWAY,Place,5/8/2014 (#6019),BR
SOME DAY YOU'LL THANK ME,Phrase,5/9/2014 (#6020),T1
POTTED PLANTS,Living Things,5/9/2014 (#6020),T2
SINGING SUPERSTAR CELINE DION,Show Biz,5/9/2014 (#6020),R1
THIRD TIME'S THE CHARM BRACELET,Before & After,5/9/2014 (#6020),R2
A SPRAWLING ALL-INCLUSIVE RESORT,Place,5/9/2014 (#6020),R3*
THE SOUND OF MUSIC,Title,5/9/2014 (#6020),T3
CHINESE CHICKEN SALAD,Food & Drink,5/9/2014 (#6020),R4
PAY A VISIT,Phrase,5/9/2014 (#6020),BR
RIDING THE WAVES,Fun & Games,5/12/2014 (#6021),T1
LONG EYELASHES,Things,5/12/2014 (#6021),T2
BACK BY POPULAR DEMAND,Phrase,5/12/2014 (#6021),R1
LITTLE BOY BLUE WHALE,Before & After,5/12/2014 (#6021),R2
FALLING ASLEEP IN A HAMMOCK,What Are You Doing?,5/12/2014 (#6021),R3*
BAMBOO SHOOTS,Food & Drink,5/12/2014 (#6021),T3
HAPPY HOMEOWNERS,People,5/12/2014 (#6021),R4
STAY AFLOAT,Phrase,5/12/2014 (#6021),BR
GRASS SKIRT,Thing,5/13/2014 (#6022),T1
TEAM CAPTAIN,Person,5/13/2014 (#6022),T2
UNDER THE BOARDWALK DOWN BY THE SEA,Song Lyrics,5/13/2014 (#6022),R1
REQUIRES IMMEDIATE ATTENTION,Phrase,5/13/2014 (#6022),R2
TUCKED AWAY IN A SECLUDED BAY,Rhyme Time,5/13/2014 (#6022),R3*
TIC-TAC-TOE,Fun & Games,5/13/2014 (#6022),T3
RACING AGAINST THE CLOCK,What Are You Doing?,5/13/2014 (#6022),R4
VIVID IMAGINATION,Thing,5/13/2014 (#6022),BR
BLACK SAND BEACH,Place,5/14/2014 (#6023),T1
PUSH-UPS AND SIT-UPS,Things,5/14/2014 (#6023),T2
THEY'RE PLAYING OUR SONG,Phrase,5/14/2014 (#6023),R1
CUTE CUDDLY CALICO CATS,Same Letter,5/14/2014 (#6023),R2
PRACTICING MY FLAMENCO DANCING,Fun & Games,5/14/2014 (#6023),R3*
BLOWING KISSES,What Are You Doing?,5/14/2014 (#6023),T3
GRAPEFRUIT JUICE,Food & Drink,5/14/2014 (#6023),R4
CAKE ICING,Food & Drink,5/14/2014 (#6023),BR
HONOLULU,On the Map,5/15/2014 (#6024),T1
THE NORTH STAR,Thing,5/15/2014 (#6024),T2
GRAND MARSHAL OF THE PARADE,Person,5/15/2014 (#6024),R1
KEEP YOUR DISTANCE RUNNER,Before & After,5/15/2014 (#6024),R2
SWIM-UP BARS & TENNIS COURTS,Places,5/15/2014 (#6024),R3*
JELLYFISH,Living Thing,5/15/2014 (#6024),T3
GOODNESS GRACIOUS,Phrase,5/15/2014 (#6024),R4
HEAVENLY BODY,Thing,5/15/2014 (#6024),BR
FAIRY-TALE WEDDING,Event,5/16/2014 (#6025),T1
SWEETENING THE DEAL,What Are You Doing?,5/16/2014 (#6025),T2
BACKSTROKE AND SIDESTROKE,Fun & Games,5/16/2014 (#6025),R1
MEN ARE FROM MARS WOMEN ARE FROM VENUS FLYTRAP,Before & After,5/16/2014 (#6025),R2
WHERE DO YOU THINK YOU'RE GOING?,Phrase,5/16/2014 (#6025),R3*
ALMOST FAMOUS,Movie Title,5/16/2014 (#6025),T3
GOOD SPORTSMANSHIP,Thing,5/16/2014 (#6025),R4
TIGHTROPE WALKER,Person,5/16/2014 (#6025),BR
THE RIGHT PRICE,Phrase,5/19/2014 (#6026),T1
HUGS AND KISSES,Things,5/19/2014 (#6026),T2
THAT'S WHAT FRIENDS ARE FOR,Song Lyrics,5/19/2014 (#6026),R1
A HEART OF GOLD COINS,Before & After,5/19/2014 (#6026),R2
CLEARING MY CALENDAR,What Are You Doing?,5/19/2014 (#6026),R3*
FIGURE SKATER,Person,5/19/2014 (#6026),T3
PILLOWS AND COMFORTERS,Around the House,5/19/2014 (#6026),R4
UNSOLICITED ADVICE,Thing,5/19/2014 (#6026),BR
PURCHASING POWER,Thing,5/20/2014 (#6027),T1
HANSEL AND GRETEL,Characters,5/20/2014 (#6027),T2
GAZING INTO A CRYSTAL BALL,What Are You Doing?,5/20/2014 (#6027),R1
HERE'S MY NUMBER SO CALL ME MAYBE,Song Lyrics,5/20/2014 (#6027),R2
LUCK LITERATURE & LEPRECHAUNS,Same Letter,5/20/2014 (#6027),R3*
PRIVATE PARTY,Event,5/20/2014 (#6027),T3
MARBLE COUNTERTOP,In the Kitchen,5/20/2014 (#6027),R4
HOLD YOUR HORSES,Phrase,5/20/2014 (#6027),R5
BACKYARD SWING SET,Fun & Games,5/20/2014 (#6027),BR
BROWSING ONLINE,What Are You Doing?,5/21/2014 (#6028),T1
RECORDING STUDIO,Place,5/21/2014 (#6028),T2
THREE TWO ONE BLAST-OFF,Phrase,5/21/2014 (#6028),R1
SCRATCHING POST OFFICE,Before & After,5/21/2014 (#6028),R2
VIEWS OF THE BRILLIANT BLUE SEA,Things,5/21/2014 (#6028),R3*
FROM ZERO TO HERO,Rhyme Time,5/21/2014 (#6028),T3
A NICE LONG WEEKEND,Event,5/21/2014 (#6028),R4
STATE OF EUPHORIA,Phrase,5/21/2014 (#6028),BR
WHAT A DEAL!,Phrase,5/22/2014 (#6029),T1
YELLOW JACKETS,Living Things,5/22/2014 (#6029),T2
SLOW COOKER AND STEAMER,In the Kitchen,5/22/2014 (#6029),R1
LOOKING AT STARS THROUGH A TELESCOPE,Fun & Games,5/22/2014 (#6029),R2
PHOTO FINISH,Event,5/22/2014 (#6029),PP
PREMIER DIVING DESTINATION,Place,5/22/2014 (#6029),R3*
LAUGHING UP A STORM,What Are You Doing?,5/22/2014 (#6029),T3
OFFICIAL LETTERHEAD,Thing,5/22/2014 (#6029),R4
DON'T QUIBBLE,Phrase,5/22/2014 (#6029),BR
A GREAT VALUE,Phrase,5/23/2014 (#6030),T1
KNOCK-KNOCK JOKE,Fun & Games,5/23/2014 (#6030),T2
KING ARTHUR & THE KNIGHTS OF THE ROUND TABLE,Characters,5/23/2014 (#6030),R1
COFFEE AND LUCKY BREAK,Same Name,5/23/2014 (#6030),R2
ROMANTIC OPEN-AIR RESTAURANT,Place,5/23/2014 (#6030),R3*
CARDIGAN SWEATER,Thing,5/23/2014 (#6030),T3
CONTEMPORARY ARTIST,Person,5/23/2014 (#6030),R4
GOING OVERBOARD,Phrase,5/23/2014 (#6030),BR
SCHOOL'S OUT FOR SUMMER,Song Lyrics,5/26/2014 (#6031),T1
CONCESSION STAND,Place,5/26/2014 (#6031),T2
BEACHES BASEBALL & BARBECUES,Same Letter,5/26/2014 (#6031),R1
GYM BAG OF POTATO CHIPS,Before & After,5/26/2014 (#6031),R2
GRACEFUL SEA TURTLES,Living Things,5/26/2014 (#6031),R3*
ELECTRIC LAWN MOWER,Around the House,5/26/2014 (#6031),T3
SLOWLY BUT SURELY,Phrase,5/26/2014 (#6031),R4
UNANIMOUS VOTE,Thing,5/26/2014 (#6031),BR
MERRY-GO-ROUND,Fun & Games,5/27/2014 (#6032),T1
TUTTI-FRUTTI,Rhyme Time,5/27/2014 (#6032),T2
THE TONIGHT SHOW STARRING JIMMY FALLON,TV Title,5/27/2014 (#6032),R1
MULTI-COLORED CONFETTI,Thing,5/27/2014 (#6032),R2
HOLD THE MAYO,Phrase,5/27/2014 (#6032),PP
HOW LONG WILL YOU BE STAYING?,Phrase,5/27/2014 (#6032),R3*
SPORTING GOODS STORE,Place,5/27/2014 (#6032),T3
FEELING HOT HOT HOT,Song Lyrics,5/27/2014 (#6032),R4
LENDING A HELPING HAND,What Are You Doing?,5/27/2014 (#6032),R5
MIX IT UP,Phrase,5/27/2014 (#6032),BR
FRESH DAISIES,Living Things,5/28/2014 (#6033),T1
FORMAL INVITATION,Thing,5/28/2014 (#6033),T2
TRIPLE CHOCOLATE CAKE,Food & Drink,5/28/2014 (#6033),R1
LOVELY LITTLE LADYBUGS,Same Letter,5/28/2014 (#6033),R2
YOU'LL NEED A CONFIRMATION NUMBER,Phrase,5/28/2014 (#6033),R3*
PATIO FURNITURE,Around the House,5/28/2014 (#6033),T3
BLOWING UP BALLOONS,Fun & Games,5/28/2014 (#6033),R4
INSPECTOR GADGET,Character,5/28/2014 (#6033),R5
BABY GRAND,Thing,5/28/2014 (#6033),BR
SHORTS AND SANDALS,Things,5/29/2014 (#6034),T1
BASKETBALL HOOP,Fun & Games,5/29/2014 (#6034),T2
YOU TOOK THE WORDS RIGHT OUT OF MY MOUTH,Phrase,5/29/2014 (#6034),R1
MIDNIGHT TRAIN TO GEORGIA PEACH,Before & After,5/29/2014 (#6034),R2
FLY-FISHING,Event,5/29/2014 (#6034),PP
CLIMBING UP A COCONUT TREE,What Are You Doing?,5/29/2014 (#6034),R3*
VANITY FAIR,Title,5/29/2014 (#6034),T3
TOURNAMENT OF CHAMPIONS,Event,5/29/2014 (#6034),R4
PICNICKERS,People,5/29/2014 (#6034),BR
MAKING TRAVEL PLANS,What Are You Doing?,5/30/2014 (#6035),T1
CALENDAR OF EVENTS,Thing,5/30/2014 (#6035),T2
I WISH THEY ALL COULD BE CALIFORNIA GIRLS,Song Lyrics,5/30/2014 (#6035),R1
CRACKS IN THE SIDEWALK SALE,Before & After,5/30/2014 (#6035),R2
NATIONAL LAMPOON'S VACATION,The 80's,5/30/2014 (#6035),R3*
LOOK WHO'S IN THE LEAD,Phrase,5/30/2014 (#6035),T3
GRADUATING WITH HONORS,Event,5/30/2014 (#6035),R4
FIND YOUR GROOVE,Phrase,5/30/2014 (#6035),BR
JACKSON HOLE WYOMING,On the Map,6/2/2014 (#6036),T1
MEASURING CUPS,In the Kitchen,6/2/2014 (#6036),T2
GOOD NIGHT SLEEP TIGHT DON'T LET THE BEDBUGS BITE,Rhyme Time,6/2/2014 (#6036),R1
PRESS YOUR LUCK OF THE IRISH,Before & After,6/2/2014 (#6036),R2
SEASIDE GARDEN PARADISE,Place,6/2/2014 (#6036),R3*
MOTHER GOOSE,Character,6/2/2014 (#6036),T3
RACE TO THE FINISH,Phrase,6/2/2014 (#6036),R4
CAPITOL HILL,Landmark,6/2/2014 (#6036),R5
HIRING PROCESS,Thing,6/2/2014 (#6036),BR
GARDENING GLOVES,Around the House,6/3/2014 (#6037),T1
CONVENIENCE STORE,Place,6/3/2014 (#6037),T2
BRING A HEARTY APPETITE,Phrase,6/3/2014 (#6037),R1
EMERY BOARD OF DIRECTORS,Before & After,6/3/2014 (#6037),R2
ROWBOAT,Thing,6/3/2014 (#6037),PP
SOAKING UP THE BEAUTY OF THE BIG ISLAND,What Are You Doing?,6/3/2014 (#6037),R3*
THE STRONG SILENT TYPE,Person,6/3/2014 (#6037),T3
MAMA I'M COMING HOME,Song Lyrics,6/3/2014 (#6037),R4
AMONG FRIENDS,Phrase,6/3/2014 (#6037),BR
SURF CITY HERE WE COME,Song Lyrics,6/4/2014 (#6038),T1
REALITY CHECK,Phrase,6/4/2014 (#6038),T2
CLOSE ENCOUNTERS OF THE THIRD KIND,The 70's,6/4/2014 (#6038),R1
WEDDING RING AROUND THE COLLAR,Before & After,6/4/2014 (#6038),R2
WONDERFUL WARM WEATHER,Same Letter,6/4/2014 (#6038),R3*
PARTY DECORATIONS,Things,6/4/2014 (#6038),T3
BOSTON MASSACHUSETTS,On the Map,6/4/2014 (#6038),R4
DOG BOWL,Thing,6/4/2014 (#6038),BR
NEWPORT RHODE ISLAND,On the Map,6/5/2014 (#6039),T1
PASSING THE BATON,What Are You Doing?,6/5/2014 (#6039),T2
TWO-CAR DETACHED GARAGE,Place,6/5/2014 (#6039),R1
BED BATH & BEYOND THUNDERDOME,Before & After,6/5/2014 (#6039),R2
SAVOR EVERY SINGLE MOMENT,Phrase,6/5/2014 (#6039),R3*
FACTS AND FIGURES,Things,6/5/2014 (#6039),T3
HEAVY-DUTY TOOL CABINET,Around the House,6/5/2014 (#6039),R4
BUSY BOULEVARD,Place,6/5/2014 (#6039),BR
A FAMILY TRADITION,Thing,6/6/2014 (#6040),T1
WINDOW SHADES,Around the House,6/6/2014 (#6040),T2
O BEAUTIFUL FOR SPACIOUS SKIES,Song Lyrics,6/6/2014 (#6040),R1
A FEAST FIT FOR A KING KONG,Before & After,6/6/2014 (#6040),R2
PLENTY OF TIME FOR BEACHCOMBING,Phrase,6/6/2014 (#6040),R3*
A REAL CHARMER,Person,6/6/2014 (#6040),T3
ORIGINAL BROADWAY CAST,Show Biz,6/6/2014 (#6040),R4
SANTA FE NEW MEXICO,On the Map,6/6/2014 (#6040),R5
YOUR BIGGEST FAN,Person,6/6/2014 (#6040),BR
SPORTSWRITER,Occupation,6/9/2014 (#6041),T1
READING A MAP,What Are You Doing?,6/9/2014 (#6041),T2
WALK LIKE A MAN TALK LIKE A MAN,Song Lyrics,6/9/2014 (#6041),R1
SUPERSONIC SPEED BUMP,Before & After,6/9/2014 (#6041),R2
KIWI BANANA AND PASION FRUIT,Food & Drink,6/9/2014 (#6041),R3*
CUT TO THE CHASE,Phrase,6/9/2014 (#6041),T3
THROWING A BOOMERANG,Fun & Games,6/9/2014 (#6041),R4
LAWN FURNITURE,Around the House,6/9/2014 (#6041),R5
BART SIMPSON,Character,6/9/2014 (#6041),R6
ALL-OUT BLITZ,Thing,6/9/2014 (#6041),BR
THREE MEN AND A BABY,The 80's,6/10/2014 (#6042),T1
RUNNING THE BASES,Fun & Games,6/10/2014 (#6042),T2
FIXING THINGS AROUND THE HOUSE,What Are You Doing?,6/10/2014 (#6042),R1
GIZMOS GADGETS & GAMES,Same Letter,6/10/2014 (#6042),R2
PLUG IT IN,Phrase,6/10/2014 (#6042),PP
PLEASE TAKE ME WITH YOU,Phrase,6/10/2014 (#6042),R3*
JUMPER CABLES,Things,6/10/2014 (#6042),T3
DADDY LONGLEGS,Living Thing,6/10/2014 (#6042),R4
MILLIONS AND BILLIOONS,Rhyme Time,6/10/2014 (#6042),R5
POINT AND CLICK,Phrase,6/10/2014 (#6042),BR
PAPA DON'T PREACH,Song Title,6/11/2014 (#6043),T1
WHO HAS THE REMOTE?,Phrase,6/11/2014 (#6043),T2
WATERPROOF WRISTWATCH,Same Letter,6/11/2014 (#6043),R1
HOLLYWOOD LEGEND SEAN CONNERY,Show Biz,6/11/2014 (#6043),R2
MONKEYS LEOPARDS AND PARROTS,Living Things,6/11/2014 (#6043),R3*
HAND-ROLLED CIGARS,Things,6/11/2014 (#6043),T3
FORMER TEAMMATES,People,6/11/2014 (#6043),R4
DIGITAL DOWNLOAD,Thing,6/11/2014 (#6043),BR
A PAIR OF BINOCULARS,Around the House,6/12/2014 (#6044),T1
BAIT & TACKLE SHOP,Place,6/12/2014 (#6044),T2
TEACHING TODDLERS TO TALK,Same Letter,6/12/2014 (#6044),R1
BEER BELLY DANCER,Before & After,6/12/2014 (#6044),R2
LUGGAGE,Thing,6/12/2014 (#6044),PP
WHEN WILL YOU BE CHECKING IN?,Phrase,6/12/2014 (#6044),R3*
CATCHING MY SECOND WIND,What Are You Doing?,6/12/2014 (#6044),T3
EXCELLENT TRACK RECORD,Thing,6/12/2014 (#6044),R4
JOYOUS OCCASION,Event,6/12/2014 (#6044),BR
BASEBALL PLAYERS,People,6/13/2014 (#6045),T1
PARKING THE CAR,What Are You Doing?,6/13/2014 (#6045),T2
PLIERS HAMMERS AND SCREWDRIVERS,Things,6/13/2014 (#6045),R1
SHALLOW END OF THE POOL TABLE,Before & After,6/13/2014 (#6045),R2
WAIT UNTIL YOUR MOM HEARS ABOUT THIS,Phrase,6/13/2014 (#6045),R3*
DARTH VADER,Character,6/13/2014 (#6045),T3
O CAPTAIN! MY CAPTAIN!,Quotation,6/13/2014 (#6045),R4
FULLY GROWN,Phrase,6/13/2014 (#6045),BR
